Container ID,Commodity,Temperature,Humidity,Timestamp,Vibration,Battery
ATM0001,Avocado,3.14,62.55,2026-07-16 17:58:20.236589,14,98
ATM0002,Avocado,2.7,55.95,2026-07-16 17:58:20.236676,3,99
ATM0003,Avocado,5.73,58.2,2026-07-16 17:58:20.236697,2,81
ATM0004,Avocado,6.6,69.72,2026-07-16 17:58:20.236712,15,91
ATM0005,Avocado,6.71,47.16,2026-07-16 17:58:20.236728,1,80
ATM0006,Avocado,6.73,44.48,2026-07-16 17:58:20.236741,5,91
ATM0007,Avocado,5.88,45.65,2026-07-16 17:58:20.236754,15,86
ATM0008,Avocado,7.38,60.58,2026-07-16 17:58:20.236812,12,94
ATM0009,Avocado,6.91,46.52,2026-07-16 17:58:20.236843,3,86
ATM0010,Avocado,2.56,58.01,2026-07-16 17:58:20.236869,14,96
ATM0011,Avocado,7.46,53.86,2026-07-16 17:58:20.236907,4,93
ATM0012,Avocado,6.82,64.27,2026-07-16 17:58:20.236938,2,80
ATM0013,Avocado,6.3,41.01,2026-07-16 17:58:20.236963,15,91
ATM0014,Avocado,2.52,66.65,2026-07-16 17:58:20.236988,6,83
ATM0015,Avocado,4.37,44.06,2026-07-16 17:58:20.237013,2,97
ATM0016,Avocado,2.79,58.5,2026-07-16 17:58:20.237038,14,90
ATM0017,Avocado,5.48,40.62,2026-07-16 17:58:20.237076,1,88
ATM0018,Avocado,7.99,63.9,2026-07-16 17:58:20.237106,2,92
ATM0019,Avocado,5.84,52.91,2026-07-16 17:58:20.237136,15,83
ATM0020,Avocado,6.7,65.45,2026-07-16 17:58:20.237161,12,99
ATM0021,Avocado,2.64,52.48,2026-07-16 17:58:20.237178,4,98
ATM0022,Avocado,5.42,46.1,2026-07-16 17:58:20.237195,8,82
ATM0023,Avocado,5.26,65.7,2026-07-16 17:58:20.237212,3,94
ATM0024,Avocado,4.39,49.94,2026-07-16 17:58:20.237228,2,86
ATM0025,Avocado,3.32,64.98,2026-07-16 17:58:20.237245,6,89
ATM0026,Avocado,7.51,53.48,2026-07-16 17:58:20.237261,6,83
ATM0027,Avocado,6.95,48.0,2026-07-16 17:58:20.237280,7,93
ATM0028,Avocado,7.27,59.16,2026-07-16 17:58:20.237296,6,90
ATM0029,Avocado,2.25,51.41,2026-07-16 17:58:20.237313,13,90
ATM0030,Avocado,4.12,52.85,2026-07-16 17:58:20.237330,14,88
ATM0031,Avocado,7.11,41.18,2026-07-16 17:58:20.237346,7,89
ATM0032,Avocado,6.24,46.75,2026-07-16 17:58:20.237362,6,85
ATM0033,Avocado,5.19,41.23,2026-07-16 17:58:20.237379,9,88
ATM0034,Avocado,4.67,47.3,2026-07-16 17:58:20.237396,10,96
ATM0035,Avocado,2.23,68.21,2026-07-16 17:58:20.237412,1,100
ATM0036,Avocado,2.47,46.14,2026-07-16 17:58:20.237428,14,100
ATM0037,Avocado,5.17,67.69,2026-07-16 17:58:20.237444,7,82
ATM0038,Avocado,5.11,54.49,2026-07-16 17:58:20.237461,10,85
ATM0039,Avocado,7.13,48.56,2026-07-16 17:58:20.237477,8,82
ATM0040,Avocado,7.96,68.51,2026-07-16 17:58:20.237493,9,83
ATM0041,Avocado,5.22,44.27,2026-07-16 17:58:20.237510,13,87
ATM0042,Avocado,3.55,63.33,2026-07-16 17:58:20.237526,6,100
ATM0043,Avocado,3.24,63.91,2026-07-16 17:58:20.237542,15,86
ATM0044,Avocado,3.89,44.02,2026-07-16 17:58:20.237559,9,84
ATM0045,Avocado,3.94,61.06,2026-07-16 17:58:20.237574,11,87
ATM0046,Avocado,3.29,60.64,2026-07-16 17:58:20.237595,12,83
ATM0047,Avocado,5.01,67.94,2026-07-16 17:58:20.237620,14,99
ATM0048,Avocado,4.48,58.98,2026-07-16 17:58:20.237646,14,97
ATM0049,Avocado,3.51,41.67,2026-07-16 17:58:20.237768,11,84
ATM0050,Avocado,5.09,68.55,2026-07-16 17:58:20.237785,11,93
ATM0051,Avocado,3.88,47.36,2026-07-16 17:58:20.237801,12,91
ATM0052,Avocado,6.8,55.01,2026-07-16 17:58:20.237817,2,83
ATM0053,Avocado,2.06,65.75,2026-07-16 17:58:20.237834,13,81
ATM0054,Avocado,7.22,60.23,2026-07-16 17:58:20.237851,6,100
ATM0055,Avocado,5.61,62.32,2026-07-16 17:58:20.237867,10,100
ATM0056,Avocado,4.49,57.04,2026-07-16 17:58:20.237883,2,94
ATM0057,Avocado,5.62,65.12,2026-07-16 17:58:20.237900,13,96
ATM0058,Avocado,7.82,42.43,2026-07-16 17:58:20.237916,5,92
ATM0059,Avocado,7.35,47.85,2026-07-16 17:58:20.237938,6,82
ATM0060,Avocado,3.97,44.08,2026-07-16 17:58:20.237954,8,86
ATM0061,Avocado,6.73,54.29,2026-07-16 17:58:20.237970,9,98
ATM0062,Avocado,7.96,62.01,2026-07-16 17:58:20.237986,14,95
ATM0063,Avocado,5.69,55.18,2026-07-16 17:58:20.238002,12,84
ATM0064,Avocado,2.27,69.94,2026-07-16 17:58:20.238019,12,81
ATM0065,Avocado,4.53,53.2,2026-07-16 17:58:20.238059,2,83
ATM0066,Avocado,2.04,67.08,2026-07-16 17:58:20.238075,7,88
ATM0067,Avocado,4.95,53.21,2026-07-16 17:58:20.238092,10,99
ATM0068,Avocado,2.57,68.72,2026-07-16 17:58:20.238108,2,80
ATM0069,Avocado,5.65,45.14,2026-07-16 17:58:20.238124,14,88
ATM0070,Avocado,4.5,58.75,2026-07-16 17:58:20.238140,11,88
ATM0071,Avocado,5.0,47.83,2026-07-16 17:58:20.238157,1,94
ATM0072,Avocado,2.34,65.96,2026-07-16 17:58:20.238173,12,100
ATM0073,Avocado,7.25,40.17,2026-07-16 17:58:20.238189,11,84
ATM0074,Avocado,2.26,45.16,2026-07-16 17:58:20.238206,14,80
ATM0075,Avocado,7.61,44.36,2026-07-16 17:58:20.238221,7,87
ATM0076,Avocado,3.36,61.35,2026-07-16 17:58:20.238237,2,83
ATM0077,Avocado,3.14,67.06,2026-07-16 17:58:20.238255,12,88
ATM0078,Avocado,5.81,53.25,2026-07-16 17:58:20.238272,8,87
ATM0079,Avocado,7.25,43.78,2026-07-16 17:58:20.238288,12,87
ATM0080,Avocado,3.45,43.86,2026-07-16 17:58:20.238304,12,87
ATM0081,Avocado,2.9,62.61,2026-07-16 17:58:20.238320,9,99
ATM0082,Avocado,7.66,53.6,2026-07-16 17:58:20.238336,10,99
ATM0083,Avocado,6.46,62.66,2026-07-16 17:58:20.238352,2,83
ATM0084,Avocado,3.32,67.52,2026-07-16 17:58:20.238368,13,99
ATM0085,Avocado,3.34,64.64,2026-07-16 17:58:20.238384,3,99
ATM0086,Avocado,3.12,66.57,2026-07-16 17:58:20.238400,14,87
ATM0087,Avocado,4.66,67.77,2026-07-16 17:58:20.238416,4,83
ATM0088,Avocado,7.55,57.76,2026-07-16 17:58:20.238432,1,99
ATM0089,Avocado,4.7,59.09,2026-07-16 17:58:20.238449,9,86
ATM0090,Avocado,7.28,61.07,2026-07-16 17:58:20.238465,5,95
ATM0091,Avocado,5.53,64.14,2026-07-16 17:58:20.238483,1,93
ATM0092,Avocado,3.65,69.06,2026-07-16 17:58:20.238499,11,86
ATM0093,Avocado,2.75,55.38,2026-07-16 17:58:20.238517,9,81
ATM0094,Avocado,4.92,55.43,2026-07-16 17:58:20.238533,12,82
ATM0095,Avocado,2.7,41.35,2026-07-16 17:58:20.238549,12,100
ATM0096,Avocado,3.73,41.09,2026-07-16 17:58:20.238565,7,90
ATM0097,Avocado,6.32,55.09,2026-07-16 17:58:20.238581,2,94
ATM0098,Avocado,2.8,69.89,2026-07-16 17:58:20.238597,1,83
ATM0099,Avocado,5.79,49.65,2026-07-16 17:58:20.238613,7,84
ATM0100,Avocado,4.61,63.84,2026-07-16 17:58:20.238629,9,99
ATM0101,Avocado,4.91,45.52,2026-07-16 17:58:20.238645,8,98
ATM0102,Avocado,4.11,59.3,2026-07-16 17:58:20.238666,1,95
ATM0103,Avocado,2.53,47.6,2026-07-16 17:58:20.238682,13,97
ATM0104,Avocado,6.21,44.19,2026-07-16 17:58:20.238699,13,99
ATM0105,Avocado,5.44,48.16,2026-07-16 17:58:20.238715,14,92
ATM0106,Avocado,7.11,42.4,2026-07-16 17:58:20.238731,10,80
ATM0107,Avocado,2.97,64.38,2026-07-16 17:58:20.238747,12,91
ATM0108,Avocado,6.0,69.64,2026-07-16 17:58:20.238763,12,89
ATM0109,Avocado,7.58,48.5,2026-07-16 17:58:20.238781,8,88
ATM0110,Avocado,7.93,40.87,2026-07-16 17:58:20.238798,11,89
ATM0111,Avocado,6.32,59.98,2026-07-16 17:58:20.238815,10,96
ATM0112,Avocado,5.3,67.3,2026-07-16 17:58:20.238831,12,80
ATM0113,Avocado,6.12,51.41,2026-07-16 17:58:20.238847,1,92
ATM0114,Avocado,3.12,54.87,2026-07-16 17:58:20.238863,3,95
ATM0115,Avocado,6.45,63.49,2026-07-16 17:58:20.238879,3,89
ATM0116,Avocado,3.75,65.46,2026-07-16 17:58:20.238894,3,100
ATM0117,Avocado,4.76,58.07,2026-07-16 17:58:20.238910,1,84
ATM0118,Avocado,3.29,61.67,2026-07-16 17:58:20.238926,3,96
ATM0119,Avocado,3.07,61.92,2026-07-16 17:58:20.238942,14,84
ATM0120,Avocado,4.7,40.61,2026-07-16 17:58:20.238958,10,94
ATM0121,Avocado,2.54,45.9,2026-07-16 17:58:20.238974,12,99
ATM0122,Avocado,7.97,63.05,2026-07-16 17:58:20.238990,14,100
ATM0123,Avocado,7.95,40.12,2026-07-16 17:58:20.239007,12,99
ATM0124,Avocado,2.86,44.61,2026-07-16 17:58:20.239023,9,85
ATM0125,Avocado,2.07,43.48,2026-07-16 17:58:20.239039,2,95
ATM0126,Avocado,4.56,57.7,2026-07-16 17:58:20.239055,4,95
ATM0127,Avocado,6.97,63.71,2026-07-16 17:58:20.239071,1,84
ATM0128,Avocado,6.11,40.58,2026-07-16 17:58:20.239086,8,91
ATM0129,Avocado,4.5,41.03,2026-07-16 17:58:20.239104,1,94
ATM0130,Avocado,4.92,50.51,2026-07-16 17:58:20.239120,12,89
ATM0131,Avocado,3.42,59.7,2026-07-16 17:58:20.239137,7,94
ATM0132,Avocado,2.05,45.01,2026-07-16 17:58:20.239153,2,88
ATM0133,Avocado,6.01,55.25,2026-07-16 17:58:20.239169,12,82
ATM0134,Avocado,7.05,46.63,2026-07-16 17:58:20.239185,14,96
ATM0135,Avocado,2.46,62.32,2026-07-16 17:58:20.239201,4,93
ATM0136,Avocado,7.71,47.87,2026-07-16 17:58:20.239249,5,92
ATM0137,Avocado,5.74,67.26,2026-07-16 17:58:20.239266,10,100
ATM0138,Avocado,3.09,53.48,2026-07-16 17:58:20.239284,11,97
ATM0139,Avocado,5.38,64.33,2026-07-16 17:58:20.239300,14,95
ATM0140,Avocado,7.86,66.69,2026-07-16 17:58:20.239316,1,84
ATM0141,Avocado,2.31,60.83,2026-07-16 17:58:20.239332,14,89
ATM0142,Avocado,6.43,47.02,2026-07-16 17:58:20.239350,1,91
ATM0143,Avocado,3.37,69.57,2026-07-16 17:58:20.239366,13,81
ATM0144,Avocado,3.61,52.14,2026-07-16 17:58:20.239390,12,91
ATM0145,Avocado,7.28,44.85,2026-07-16 17:58:20.239406,7,82
ATM0146,Avocado,3.2,69.67,2026-07-16 17:58:20.239423,2,98
ATM0147,Avocado,2.89,42.65,2026-07-16 17:58:20.239439,14,100
ATM0148,Avocado,3.93,40.63,2026-07-16 17:58:20.239455,7,87
ATM0149,Avocado,5.84,48.45,2026-07-16 17:58:20.239471,7,87
ATM0150,Avocado,6.61,68.17,2026-07-16 17:58:20.239487,1,82
ATM0151,Avocado,5.84,52.43,2026-07-16 17:58:20.239504,8,91
ATM0152,Avocado,5.34,45.04,2026-07-16 17:58:20.239520,8,96
ATM0153,Avocado,2.98,63.78,2026-07-16 17:58:20.239536,9,86
ATM0154,Avocado,7.57,58.85,2026-07-16 17:58:20.239552,3,85
ATM0155,Avocado,4.92,59.79,2026-07-16 17:58:20.239569,12,84
ATM0156,Avocado,7.19,64.0,2026-07-16 17:58:20.239586,8,100
ATM0157,Avocado,3.0,49.21,2026-07-16 17:58:20.239602,3,100
ATM0158,Avocado,7.39,69.37,2026-07-16 17:58:20.239618,13,81
ATM0159,Avocado,7.39,66.61,2026-07-16 17:58:20.239634,3,81
ATM0160,Avocado,2.95,54.98,2026-07-16 17:58:20.239650,8,80
ATM0161,Avocado,3.61,51.83,2026-07-16 17:58:20.239668,8,82
ATM0162,Avocado,7.52,52.48,2026-07-16 17:58:20.239685,4,90
ATM0163,Avocado,5.24,54.37,2026-07-16 17:58:20.239700,4,98
ATM0164,Avocado,7.96,43.71,2026-07-16 17:58:20.239716,8,87
ATM0165,Avocado,6.71,52.35,2026-07-16 17:58:20.239733,1,85
ATM0166,Avocado,6.31,59.65,2026-07-16 17:58:20.239749,6,89
ATM0167,Avocado,7.36,63.08,2026-07-16 17:58:20.239765,1,81
ATM0168,Avocado,7.96,68.83,2026-07-16 17:58:20.239781,2,86
ATM0169,Avocado,6.41,49.86,2026-07-16 17:58:20.239797,7,87
ATM0170,Avocado,6.59,56.25,2026-07-16 17:58:20.239814,15,80
ATM0171,Avocado,2.69,40.44,2026-07-16 17:58:20.239830,10,82
ATM0172,Avocado,4.45,53.51,2026-07-16 17:58:20.239846,3,93
ATM0173,Avocado,3.14,63.01,2026-07-16 17:58:20.239862,2,95
ATM0174,Avocado,6.35,55.23,2026-07-16 17:58:20.239878,7,87
ATM0175,Avocado,6.52,40.68,2026-07-16 17:58:20.239894,8,91
ATM0176,Avocado,5.22,64.67,2026-07-16 17:58:20.239910,2,80
ATM0177,Avocado,4.72,40.24,2026-07-16 17:58:20.239926,3,99
ATM0178,Avocado,6.24,47.24,2026-07-16 17:58:20.239942,14,81
ATM0179,Avocado,6.46,67.36,2026-07-16 17:58:20.239958,3,92
ATM0180,Avocado,4.15,47.92,2026-07-16 17:58:20.239974,1,99
ATM0181,Avocado,6.6,52.1,2026-07-16 17:58:20.239990,5,94
ATM0182,Avocado,3.19,41.12,2026-07-16 17:58:20.240007,15,100
ATM0183,Avocado,4.05,43.57,2026-07-16 17:58:20.240023,4,84
ATM0184,Avocado,2.22,57.66,2026-07-16 17:58:20.240051,4,86
ATM0185,Avocado,3.74,59.85,2026-07-16 17:58:20.240070,12,94
ATM0186,Avocado,6.53,57.61,2026-07-16 17:58:20.240086,7,91
ATM0187,Avocado,6.16,51.64,2026-07-16 17:58:20.240101,9,90
ATM0188,Avocado,6.48,62.48,2026-07-16 17:58:20.240117,15,98
ATM0189,Avocado,3.81,54.79,2026-07-16 17:58:20.240134,4,95
ATM0190,Avocado,2.79,45.34,2026-07-16 17:58:20.240149,15,84
ATM0191,Avocado,4.04,51.57,2026-07-16 17:58:20.240165,3,88
ATM0192,Avocado,7.64,68.09,2026-07-16 17:58:20.240181,6,89
ATM0193,Avocado,6.17,51.07,2026-07-16 17:58:20.240197,3,87
ATM0194,Avocado,6.5,66.06,2026-07-16 17:58:20.240213,10,86
ATM0195,Avocado,7.24,61.04,2026-07-16 17:58:20.240228,14,85
ATM0196,Avocado,3.49,58.27,2026-07-16 17:58:20.240244,9,95
ATM0197,Avocado,3.54,46.18,2026-07-16 17:58:20.240260,13,93
ATM0198,Avocado,4.02,58.33,2026-07-16 17:58:20.240276,8,93
ATM0199,Avocado,7.53,51.86,2026-07-16 17:58:20.240292,14,95
ATM0200,Avocado,4.49,52.36,2026-07-16 17:58:20.240308,9,85
ATM0201,Avocado,2.57,51.18,2026-07-16 17:58:20.240325,1,99
ATM0202,Avocado,7.48,42.46,2026-07-16 17:58:20.240348,9,93
ATM0203,Avocado,7.44,44.07,2026-07-16 17:58:20.240365,1,94
ATM0204,Avocado,7.55,60.52,2026-07-16 17:58:20.240381,3,81
ATM0205,Avocado,3.44,69.39,2026-07-16 17:58:20.240397,4,89
ATM0206,Avocado,4.33,42.58,2026-07-16 17:58:20.240413,7,97
ATM0207,Avocado,5.85,59.96,2026-07-16 17:58:20.240428,6,93
ATM0208,Avocado,2.61,48.48,2026-07-16 17:58:20.240444,7,88
ATM0209,Avocado,3.01,46.1,2026-07-16 17:58:20.240460,8,87
ATM0210,Avocado,6.51,45.69,2026-07-16 17:58:20.240476,15,90
ATM0211,Avocado,4.07,47.63,2026-07-16 17:58:20.240492,14,81
ATM0212,Avocado,2.77,45.46,2026-07-16 17:58:20.240507,3,90
ATM0213,Avocado,2.06,60.87,2026-07-16 17:58:20.240525,4,84
ATM0214,Avocado,3.53,47.87,2026-07-16 17:58:20.240541,13,86
ATM0215,Avocado,6.32,55.81,2026-07-16 17:58:20.240557,4,93
ATM0216,Avocado,7.23,56.62,2026-07-16 17:58:20.240573,6,98
ATM0217,Avocado,7.46,46.2,2026-07-16 17:58:20.240589,5,86
ATM0218,Avocado,7.72,62.94,2026-07-16 17:58:20.240605,4,80
ATM0219,Avocado,4.08,55.71,2026-07-16 17:58:20.240631,2,80
ATM0220,Avocado,3.79,41.54,2026-07-16 17:58:20.240657,15,97
ATM0221,Avocado,2.76,42.66,2026-07-16 17:58:20.240692,5,84
ATM0222,Avocado,2.69,62.74,2026-07-16 17:58:20.240742,14,85
ATM0223,Avocado,5.79,46.06,2026-07-16 17:58:20.240791,13,97
ATM0224,Avocado,3.39,46.57,2026-07-16 17:58:20.240817,9,94
ATM0225,Avocado,3.06,47.69,2026-07-16 17:58:20.240844,15,93
ATM0226,Avocado,4.8,65.72,2026-07-16 17:58:20.240860,11,83
ATM0227,Avocado,5.64,65.34,2026-07-16 17:58:20.240877,7,86
ATM0228,Avocado,6.77,54.46,2026-07-16 17:58:20.240893,6,97
ATM0229,Avocado,6.71,47.77,2026-07-16 17:58:20.240911,9,99
ATM0230,Avocado,4.4,53.0,2026-07-16 17:58:20.240928,2,84
ATM0231,Avocado,6.15,41.13,2026-07-16 17:58:20.240944,13,98
ATM0232,Avocado,3.93,44.36,2026-07-16 17:58:20.240960,15,98
ATM0233,Avocado,5.65,64.32,2026-07-16 17:58:20.240976,14,84
ATM0234,Avocado,5.98,51.93,2026-07-16 17:58:20.240992,10,97
ATM0235,Avocado,6.71,45.29,2026-07-16 17:58:20.241008,14,100
ATM0236,Avocado,4.28,51.25,2026-07-16 17:58:20.241024,6,99
ATM0237,Avocado,4.57,44.06,2026-07-16 17:58:20.241040,15,83
ATM0238,Avocado,6.39,54.2,2026-07-16 17:58:20.241056,12,91
ATM0239,Avocado,6.69,56.21,2026-07-16 17:58:20.241072,6,84
ATM0240,Avocado,4.36,64.1,2026-07-16 17:58:20.241088,13,90
ATM0241,Avocado,7.39,50.73,2026-07-16 17:58:20.241104,2,83
ATM0242,Avocado,3.12,48.28,2026-07-16 17:58:20.241119,3,87
ATM0243,Avocado,4.82,43.07,2026-07-16 17:58:20.241135,14,96
ATM0244,Avocado,7.73,48.76,2026-07-16 17:58:20.241151,6,86
ATM0245,Avocado,3.33,62.09,2026-07-16 17:58:20.241169,13,85
ATM0246,Avocado,6.38,61.8,2026-07-16 17:58:20.241185,15,97
ATM0247,Avocado,5.57,65.8,2026-07-16 17:58:20.241201,13,81
ATM0248,Avocado,5.01,54.11,2026-07-16 17:58:20.241218,8,80
ATM0249,Avocado,4.66,61.3,2026-07-16 17:58:20.241235,11,96
ATM0250,Avocado,3.28,56.77,2026-07-16 17:58:20.241251,6,94
ATM0251,Avocado,4.36,42.21,2026-07-16 17:58:20.241267,8,98
ATM0252,Avocado,2.15,65.27,2026-07-16 17:58:20.241283,2,86
ATM0253,Avocado,2.89,53.11,2026-07-16 17:58:20.241298,14,99
ATM0254,Avocado,4.48,68.03,2026-07-16 17:58:20.241314,5,100
ATM0255,Avocado,6.54,53.78,2026-07-16 17:58:20.241331,3,93
ATM0256,Avocado,5.86,53.85,2026-07-16 17:58:20.241346,2,100
ATM0257,Avocado,5.95,63.05,2026-07-16 17:58:20.241363,3,87
ATM0258,Avocado,2.81,63.89,2026-07-16 17:58:20.241380,3,98
ATM0259,Avocado,7.72,66.22,2026-07-16 17:58:20.241396,6,90
ATM0260,Avocado,5.05,47.56,2026-07-16 17:58:20.241412,3,95
ATM0261,Avocado,5.13,67.83,2026-07-16 17:58:20.241428,12,83
ATM0262,Avocado,5.45,62.33,2026-07-16 17:58:20.241444,11,91
ATM0263,Avocado,2.98,67.66,2026-07-16 17:58:20.241460,6,83
ATM0264,Avocado,6.38,50.49,2026-07-16 17:58:20.241475,7,91
ATM0265,Avocado,3.08,53.07,2026-07-16 17:58:20.241492,10,88
ATM0266,Avocado,5.3,60.92,2026-07-16 17:58:20.241509,1,99
ATM0267,Avocado,5.59,62.61,2026-07-16 17:58:20.241525,12,80
ATM0268,Avocado,7.36,65.61,2026-07-16 17:58:20.241540,6,80
ATM0269,Avocado,4.57,54.76,2026-07-16 17:58:20.241557,10,91
ATM0270,Avocado,4.78,55.39,2026-07-16 17:58:20.241573,7,90
ATM0271,Avocado,5.71,65.13,2026-07-16 17:58:20.241589,2,89
ATM0272,Avocado,5.98,40.66,2026-07-16 17:58:20.241626,11,89
ATM0273,Avocado,5.48,51.85,2026-07-16 17:58:20.241647,6,90
ATM0274,Avocado,6.58,53.54,2026-07-16 17:58:20.241663,5,92
ATM0275,Avocado,4.97,59.74,2026-07-16 17:58:20.241680,7,80
ATM0276,Avocado,6.17,60.96,2026-07-16 17:58:20.241696,3,87
ATM0277,Avocado,3.61,55.04,2026-07-16 17:58:20.241712,4,85
ATM0278,Avocado,6.28,65.84,2026-07-16 17:58:20.241728,9,82
ATM0279,Avocado,3.47,46.16,2026-07-16 17:58:20.241744,7,92
ATM0280,Avocado,5.53,67.66,2026-07-16 17:58:20.241762,9,95
ATM0281,Avocado,4.45,51.41,2026-07-16 17:58:20.241778,12,92
ATM0282,Avocado,3.6,49.6,2026-07-16 17:58:20.241795,6,85
ATM0283,Avocado,2.48,42.64,2026-07-16 17:58:20.241811,5,86
ATM0284,Avocado,2.55,68.39,2026-07-16 17:58:20.241827,10,92
ATM0285,Avocado,7.61,66.98,2026-07-16 17:58:20.241843,14,83
ATM0286,Avocado,4.06,42.04,2026-07-16 17:58:20.241858,13,87
ATM0287,Avocado,7.79,40.52,2026-07-16 17:58:20.241875,1,90
ATM0288,Avocado,4.37,50.49,2026-07-16 17:58:20.241891,11,85
ATM0289,Avocado,7.05,54.85,2026-07-16 17:58:20.241907,6,98
ATM0290,Avocado,6.74,64.39,2026-07-16 17:58:20.241923,10,89
ATM0291,Avocado,4.61,65.34,2026-07-16 17:58:20.241939,10,92
ATM0292,Avocado,7.81,44.57,2026-07-16 17:58:20.241955,1,98
ATM0293,Avocado,3.06,56.67,2026-07-16 17:58:20.241971,8,94
ATM0294,Avocado,2.82,57.47,2026-07-16 17:58:20.241987,5,100
ATM0295,Avocado,3.96,55.25,2026-07-16 17:58:20.242003,7,84
ATM0296,Avocado,5.04,40.79,2026-07-16 17:58:20.242020,5,89
ATM0297,Avocado,6.43,54.13,2026-07-16 17:58:20.242036,10,84
ATM0298,Avocado,5.18,48.94,2026-07-16 17:58:20.242068,13,89
ATM0299,Avocado,4.99,61.95,2026-07-16 17:58:20.242084,14,84
ATM0300,Avocado,5.0,47.26,2026-07-16 17:58:20.242100,11,86
ATM0301,Avocado,5.15,48.04,2026-07-16 17:58:20.242116,15,99
ATM0302,Avocado,7.15,50.36,2026-07-16 17:58:20.242132,4,93
ATM0303,Avocado,5.24,60.43,2026-07-16 17:58:20.242148,12,84
ATM0304,Avocado,4.57,50.84,2026-07-16 17:58:20.242164,11,87
ATM0305,Avocado,7.09,49.1,2026-07-16 17:58:20.242180,8,96
ATM0306,Avocado,3.53,46.38,2026-07-16 17:58:20.242197,8,96
ATM0307,Avocado,6.06,66.71,2026-07-16 17:58:20.242213,14,90
ATM0308,Avocado,4.72,46.8,2026-07-16 17:58:20.242229,8,97
ATM0309,Avocado,5.2,46.49,2026-07-16 17:58:20.242245,6,84
ATM0310,Avocado,5.57,44.98,2026-07-16 17:58:20.242261,6,82
ATM0311,Avocado,6.91,61.18,2026-07-16 17:58:20.242277,8,83
ATM0312,Avocado,3.35,61.82,2026-07-16 17:58:20.242293,4,85
ATM0313,Avocado,2.26,43.02,2026-07-16 17:58:20.242310,9,82
ATM0314,Avocado,2.43,67.76,2026-07-16 17:58:20.242327,9,92
ATM0315,Avocado,6.09,54.86,2026-07-16 17:58:20.242344,6,93
ATM0316,Avocado,2.94,62.92,2026-07-16 17:58:20.242360,10,86
ATM0317,Avocado,7.65,57.82,2026-07-16 17:58:20.242376,14,93
ATM0318,Avocado,4.7,68.84,2026-07-16 17:58:20.242392,2,84
ATM0319,Avocado,5.97,57.11,2026-07-16 17:58:20.242408,5,82
ATM0320,Avocado,3.95,46.9,2026-07-16 17:58:20.242424,14,88
ATM0321,Avocado,3.06,43.83,2026-07-16 17:58:20.242440,10,88
ATM0322,Avocado,5.45,65.97,2026-07-16 17:58:20.242456,5,95
ATM0323,Avocado,6.79,62.96,2026-07-16 17:58:20.242472,10,84
