Container ID,Commodity,Temperature,Humidity,Timestamp,Vibration,Battery
ATM0001,Avocado,2.91,55.15,2026-07-16 16:10:39.447261,3,96
ATM0002,Avocado,3.25,44.21,2026-07-16 16:10:39.447282,15,98
ATM0003,Avocado,5.73,59.09,2026-07-16 16:10:39.447291,4,88
ATM0004,Avocado,2.28,40.64,2026-07-16 16:10:39.447299,14,100
ATM0005,Avocado,7.46,56.39,2026-07-16 16:10:39.447309,8,83
ATM0006,Avocado,2.75,57.48,2026-07-16 16:10:39.447320,13,90
ATM0007,Avocado,3.7,62.29,2026-07-16 16:10:39.447332,10,90
ATM0008,Avocado,3.3,47.77,2026-07-16 16:10:39.447343,14,95
ATM0009,Avocado,3.0,44.39,2026-07-16 16:10:39.447356,6,95
ATM0010,Avocado,6.61,62.93,2026-07-16 16:10:39.447365,3,100
ATM0011,Avocado,3.6,54.67,2026-07-16 16:10:39.447373,6,87
ATM0012,Avocado,2.26,45.61,2026-07-16 16:10:39.447380,11,83
ATM0013,Avocado,7.78,52.7,2026-07-16 16:10:39.447387,7,89
ATM0014,Avocado,3.31,49.37,2026-07-16 16:10:39.447394,13,83
ATM0015,Avocado,6.97,47.96,2026-07-16 16:10:39.447400,1,87
ATM0016,Avocado,4.19,46.26,2026-07-16 16:10:39.447407,3,100
ATM0017,Avocado,6.73,68.45,2026-07-16 16:10:39.447523,10,82
ATM0018,Avocado,5.66,46.89,2026-07-16 16:10:39.447530,7,99
ATM0019,Avocado,5.58,58.49,2026-07-16 16:10:39.447537,14,84
ATM0020,Avocado,4.76,59.85,2026-07-16 16:10:39.447543,13,93
ATM0021,Avocado,3.8,43.4,2026-07-16 16:10:39.447550,13,93
ATM0022,Avocado,7.65,63.27,2026-07-16 16:10:39.447556,6,82
ATM0023,Avocado,7.53,43.53,2026-07-16 16:10:39.447562,8,93
ATM0024,Avocado,6.11,60.32,2026-07-16 16:10:39.447569,1,94
ATM0025,Avocado,2.33,67.84,2026-07-16 16:10:39.447617,7,88
ATM0026,Avocado,6.38,68.72,2026-07-16 16:10:39.447624,12,81
ATM0027,Avocado,7.79,48.97,2026-07-16 16:10:39.447630,6,84
ATM0028,Avocado,3.24,64.03,2026-07-16 16:10:39.447636,12,83
ATM0029,Avocado,7.16,62.48,2026-07-16 16:10:39.447642,8,95
ATM0030,Avocado,6.33,59.9,2026-07-16 16:10:39.447649,10,94
ATM0031,Avocado,7.5,53.33,2026-07-16 16:10:39.447655,4,99
ATM0032,Avocado,2.7,66.54,2026-07-16 16:10:39.447661,4,80
ATM0033,Avocado,5.64,46.44,2026-07-16 16:10:39.447668,7,98
ATM0034,Avocado,2.31,66.29,2026-07-16 16:10:39.447674,9,80
ATM0035,Avocado,7.1,41.75,2026-07-16 16:10:39.447680,9,99
ATM0036,Avocado,2.9,56.6,2026-07-16 16:10:39.447686,13,98
ATM0037,Avocado,2.58,61.19,2026-07-16 16:10:39.447692,15,92
ATM0038,Avocado,3.29,51.22,2026-07-16 16:10:39.447699,4,92
ATM0039,Avocado,4.09,69.84,2026-07-16 16:10:39.447705,14,84
ATM0040,Avocado,2.43,65.14,2026-07-16 16:10:39.447711,14,97
ATM0041,Avocado,7.79,48.46,2026-07-16 16:10:39.447717,10,86
ATM0042,Avocado,6.68,47.36,2026-07-16 16:10:39.447723,5,84
ATM0043,Avocado,6.73,60.61,2026-07-16 16:10:39.447730,12,89
ATM0044,Avocado,5.79,63.75,2026-07-16 16:10:39.447736,10,92
ATM0045,Avocado,6.75,54.58,2026-07-16 16:10:39.447742,10,84
ATM0046,Avocado,7.04,59.32,2026-07-16 16:10:39.447748,12,98
ATM0047,Avocado,6.02,56.84,2026-07-16 16:10:39.447754,11,81
ATM0048,Avocado,4.11,66.67,2026-07-16 16:10:39.447760,13,93
ATM0049,Avocado,2.83,43.39,2026-07-16 16:10:39.447767,5,92
ATM0050,Avocado,6.44,69.11,2026-07-16 16:10:39.447773,3,90
ATM0051,Avocado,6.8,61.34,2026-07-16 16:10:39.447779,2,96
ATM0052,Avocado,2.88,52.79,2026-07-16 16:10:39.447785,5,86
ATM0053,Avocado,7.88,64.16,2026-07-16 16:10:39.447791,7,95
ATM0054,Avocado,3.36,69.76,2026-07-16 16:10:39.447797,14,100
ATM0055,Avocado,3.86,63.31,2026-07-16 16:10:39.447804,10,90
ATM0056,Avocado,2.59,60.79,2026-07-16 16:10:39.447810,10,91
ATM0057,Avocado,3.86,64.95,2026-07-16 16:10:39.447816,14,99
ATM0058,Avocado,7.78,66.14,2026-07-16 16:10:39.447822,15,89
ATM0059,Avocado,5.44,42.15,2026-07-16 16:10:39.447830,6,98
ATM0060,Avocado,6.52,49.99,2026-07-16 16:10:39.447836,15,87
ATM0061,Avocado,5.64,62.76,2026-07-16 16:10:39.447843,9,92
ATM0062,Avocado,6.48,63.07,2026-07-16 16:10:39.447848,4,83
ATM0063,Avocado,4.81,59.72,2026-07-16 16:10:39.447855,8,95
ATM0064,Avocado,2.46,41.51,2026-07-16 16:10:39.447883,6,82
ATM0065,Avocado,6.28,40.08,2026-07-16 16:10:39.447890,4,84
ATM0066,Avocado,3.48,61.9,2026-07-16 16:10:39.447896,7,96
ATM0067,Avocado,2.05,47.42,2026-07-16 16:10:39.447901,10,96
ATM0068,Avocado,2.65,61.5,2026-07-16 16:10:39.447907,5,91
ATM0069,Avocado,4.74,45.47,2026-07-16 16:10:39.447913,9,88
ATM0070,Avocado,7.2,57.8,2026-07-16 16:10:39.447919,7,87
ATM0071,Avocado,3.78,55.23,2026-07-16 16:10:39.447925,9,91
ATM0072,Avocado,6.4,54.8,2026-07-16 16:10:39.447930,10,94
ATM0073,Avocado,3.38,52.36,2026-07-16 16:10:39.447936,15,83
ATM0074,Avocado,3.71,67.32,2026-07-16 16:10:39.447942,7,88
ATM0075,Avocado,7.15,69.79,2026-07-16 16:10:39.447947,9,85
ATM0076,Avocado,2.64,51.3,2026-07-16 16:10:39.447953,9,99
ATM0077,Avocado,3.93,43.41,2026-07-16 16:10:39.447960,15,96
ATM0078,Avocado,3.97,47.28,2026-07-16 16:10:39.447966,1,83
ATM0079,Avocado,4.84,53.69,2026-07-16 16:10:39.447971,1,96
ATM0080,Avocado,7.56,47.24,2026-07-16 16:10:39.447977,2,90
ATM0081,Avocado,5.79,60.06,2026-07-16 16:10:39.447983,3,100
ATM0082,Avocado,5.13,43.94,2026-07-16 16:10:39.447989,1,99
ATM0083,Avocado,6.22,59.82,2026-07-16 16:10:39.447994,8,83
ATM0084,Avocado,6.82,40.41,2026-07-16 16:10:39.448000,10,93
ATM0085,Avocado,4.63,53.7,2026-07-16 16:10:39.448006,12,99
ATM0086,Avocado,2.36,66.79,2026-07-16 16:10:39.448011,12,87
ATM0087,Avocado,4.53,51.47,2026-07-16 16:10:39.448017,5,89
ATM0088,Avocado,6.08,58.07,2026-07-16 16:10:39.448023,10,84
ATM0089,Avocado,2.58,65.74,2026-07-16 16:10:39.448029,12,85
ATM0090,Avocado,6.53,62.28,2026-07-16 16:10:39.448035,3,99
ATM0091,Avocado,3.03,54.48,2026-07-16 16:10:39.448040,8,82
ATM0092,Avocado,5.64,50.55,2026-07-16 16:10:39.448046,7,85
ATM0093,Avocado,4.39,59.74,2026-07-16 16:10:39.448052,12,80
ATM0094,Avocado,5.34,60.39,2026-07-16 16:10:39.448058,8,86
ATM0095,Avocado,2.18,49.22,2026-07-16 16:10:39.448065,13,90
ATM0096,Avocado,7.74,54.66,2026-07-16 16:10:39.448070,8,97
ATM0097,Avocado,4.93,60.33,2026-07-16 16:10:39.448076,11,85
ATM0098,Avocado,5.34,64.19,2026-07-16 16:10:39.448082,5,100
ATM0099,Avocado,5.81,44.71,2026-07-16 16:10:39.448088,2,93
ATM0100,Avocado,4.46,67.96,2026-07-16 16:10:39.448094,1,99
ATM0101,Avocado,4.42,68.82,2026-07-16 16:10:39.448100,10,88
ATM0102,Avocado,7.56,53.09,2026-07-16 16:10:39.448107,14,91
ATM0103,Avocado,7.27,44.79,2026-07-16 16:10:39.448113,11,99
ATM0104,Avocado,7.53,66.24,2026-07-16 16:10:39.448152,6,87
ATM0105,Avocado,3.35,42.06,2026-07-16 16:10:39.448158,14,100
ATM0106,Avocado,3.61,62.49,2026-07-16 16:10:39.448164,8,99
ATM0107,Avocado,5.26,46.28,2026-07-16 16:10:39.448169,4,85
ATM0108,Avocado,2.92,67.26,2026-07-16 16:10:39.448175,5,90
ATM0109,Avocado,4.3,41.58,2026-07-16 16:10:39.448183,3,83
ATM0110,Avocado,7.25,47.6,2026-07-16 16:10:39.448189,6,82
ATM0111,Avocado,3.91,56.74,2026-07-16 16:10:39.448195,13,81
